CASE_ENQUIRY_ID,OPEN_DT,CLOSED_DT,TIME_DIFF,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,Location,neighborhood,neighborhood_services_district,LOCATION_STREET_NAME,LOCATION_ZIPCODE,LATITUDE,LONGITUDE,Source,completion.time
1.01E+11,6/26/12 19:30,7/24/12 12:06,27:16:35,Closed,Case Closed Case Resolved   This request has been completed and some shadows still remain. ,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,17 Alcott St  Allston  MA  02134,Allston / Brighton,15,17 Alcott St,2134,42.357861,-71.132717,Citizens Connect App,664.5833333
1.01E+11,6/26/12 20:44,7/18/12 11:51,21:15:07,Closed,Case Closed Case Resolved   This request has been completed. ,Graffiti: Ward 12  1201  Other,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,2566 Washington St  Roxbury  MA  02119,Roxbury,13,2566 Washington St,2119,42.326383,-71.087234,Constituent Call,519.1166667
1.01E+11,6/27/12 9:30,8/2/12 10:38,5:01:08,Closed,Case Closed Case Resolved   The graffiti team couldn't find any graffiti at the requested site. Either someone else removed or we will need better directions. ,Graffiti: Ward 15  1505  Other,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,52-54 Corona St  Dorchester  MA  02124,Dorchester,8,52-54 Corona St,2124,42.301434,-71.069543,Constituent Call,121.1333333
1.01E+11,6/27/12 9:51,7/20/12 11:22,23:01:30,Closed,Case Closed Case Resolved   This request has been completed. ,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,1390 Boylston St  Boston  MA  02215,Fenway / Kenmore / Audubon Circle / Longwood,14,1390 Boylston St,2215,42.343155,-71.102079,Citizens Connect App,553.5
1.01E+11,6/27/12 17:20,6/29/12 14:36,1:21:16,Closed,Case Closed Case Resolved work completed by highway district 2 ,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,PWDx_District 02: Jamaica Plain,PWDx,2 Blakemore St  Roslindale  MA  02131,Roslindale,10,2 Blakemore St,2131,42.285325,-71.119767,Citizens Connect App,45.26666667
1.01E+11,6/27/12 19:30,6/28/12 15:16,0:19:46,Closed,Case Closed Case Referred to External Agency DCR jurisdiction. Information forwarded to DCR. ,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,205 Savin Hill Ave  Dorchester  MA  02125,Dorchester,7,205 Savin Hill Ave,2125,42.30847,-71.04862,Citizens Connect App,19.76666667
1.01E+11,6/28/12 5:52,7/2/12 15:51,4:09:59,Closed,"Case Closed Case Resolved Officer Blackmore found no violation on 6-29-12.     Respectfully   Sgt. Chris""Tiger""Stockbridge  Code Enforcement Police  1010 Mass Ave. 4th Floor  Boston  MA 02118 ",Graffiti Removal,Property Management,Graffiti,Graffiti Removal,INFO01_GenericeFormforOtherServiceRequestTypes,INFO,52 Queensberry St  Boston  MA  02215,Fenway / Kenmore / Audubon Circle / Longwood,14,52 Queensberry St,2215,42.342574,-71.097319,Citizens Connect App,105.9833333
1.01E+11,6/28/12 13:16,6/28/12 15:43,0:02:27,Closed,Case Closed Case Referred to External Agency MBTA jurisdiction. Information forwarded to MBTA. ,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,INFO_Reallocation From Dept,INFO,1469-1469A Dorchester Ave  Dorchester  MA  02122,Dorchester,8,1469-1469A Dorchester Ave,2122,42.300515,-71.06031,Citizens Connect App,2.45
1.01E+11,6/28/12 13:18,6/28/12 15:42,0:02:23,Closed,Case Closed Case Referred to External Agency MBTA jurisdiction. Information forwarded to MBTA. ,Graffiti Removal - paint bridge ,Property Management,Graffiti,Graffiti Removal,INFO_Reallocation From Dept,INFO,1480 Dorchester Ave  Dorchester  MA  02122,Dorchester,7,1480 Dorchester Ave,2122,42.30008,-71.05995,Citizens Connect App,2.383333333
1.01E+11,6/28/12 20:53,6/29/12 13:20,0:16:26,Closed,Case Closed Case Resolved graffiti removed from big belly ,Graffiti Removal/big belly,Property Management,Graffiti,Graffiti Removal,PWDx_Request for Litter Basket Installation,PWDx,275 Cambridge St  Boston  MA  02114,Beacon Hill,3,275 Cambridge St,2114,42.361357,-71.068227,Citizens Connect App,16.43333333
1.01E+11,6/28/12 22:13,7/23/12 13:44,24:15:31,Closed,Case Closed Case Resolved   This request has been completed. ,Graffiti: Ward 21  2104  Other,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,66A-68A Harvard Ave  Allston  MA  02134,Allston / Brighton,15,66A-68A Harvard Ave,2134,42.353954,-71.132012,Self Service,591.5166667
1.01E+11,6/28/12 22:22,7/24/12 12:05,25:13:43,Closed,Case Closed Case Resolved   This request has been completed. ,Graffiti: Ward 21  2104  Other,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,98 Gardner St  Allston  MA  02134,Allston / Brighton,15,98 Gardner St,2134,42.35357,-71.12511,Self Service,613.7166667
1.01E+11,6/29/12 7:24,6/29/12 11:10,0:03:46,Closed,Case Closed Case Resolved ,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,PWDx_District 1C: Downtown,PWDx,561-561A Columbus Ave  Roxbury  MA  02118,South End,6,561-561A Columbus Ave,2118,42.341189,-71.081457,Citizens Connect App,3.766666667
1.01E+11,6/29/12 7:52,6/29/12 13:14,0:05:22,Closed,Case Closed Case Resolved graffiti removed 06/29/12 ,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,PWDx_District 10A: Roxbury,PWDx,46 Wait St  Mission Hill  MA  02120,Mission Hill,14,46 Wait St,2120,42.33175,-71.10635,Citizens Connect App,5.366666667
1.01E+11,6/29/12 9:22,7/18/12 11:53,19:02:31,Closed,Case Closed Case Resolved   This request has been completed. ,Graffiti: Ward 12  1201  Gang,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,2500 Washington St  Roxbury  MA  02119,Roxbury,13,2500 Washington St,2119,42.32765,-71.08633,Self Service,458.5166667
1.01E+11,6/29/12 9:58,7/19/12 12:21,20:02:22,Closed,Case Closed Case Resolved   This request has been completed. ,Graffiti: Ward 9  0903  Other,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,610 Columbus Ave  Roxbury  MA  02118,Roxbury,13,610 Columbus Ave,2118,42.33969,-71.08251,Constituent Call,482.3666667
1.01E+11,6/29/12 11:33,7/23/12 13:48,24:02:15,Closed,Case Closed Case Resolved   This request has been completed. ,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,122 Harvard Ave  Allston  MA  02134,Allston / Brighton,15,122 Harvard Ave,2134,42.352431,-71.131711,Citizens Connect App,578.25
1.01E+11,6/29/12 17:15,7/3/12 6:47,3:13:31,Closed,Case Closed Duplicate of Existing Case Same as #443366 ,Park Maintenance: Walker Playground,Property Management,Graffiti,Graffiti Removal,PARK_Park Maintenance Requests,PARK,550 Norfolk St  Mattapan  MA  02126,Greater Mattapan,9,550 Norfolk St,2126,42.3594,-71.0587,Citizens Connect App,85.51666667
1.01E+11,6/29/12 17:21,7/10/12 10:18,10:16:56,Closed,Case Closed Case Resolved done 7-5-12 ,Park Maintenance: Walker Playground,Property Management,Graffiti,Graffiti Removal,PARK_Park Maintenance Requests,PARK,555-557 Norfolk St  Mattapan  MA  02126,Greater Mattapan,9,555-557 Norfolk St,2126,42.27811,-71.091,Citizens Connect App,256.9333333
1.01E+11,6/29/12 17:39,7/26/12 12:32,26:18:53,Closed,Case Closed Case Resolved   This request has been compleetd and has been done three times in the past. ,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,30 Wadsworth St  Allston  MA  02134,Allston / Brighton,15,30 Wadsworth St,2134,42.35507,-71.12529,Citizens Connect App,642.8833333
1.01E+11,6/29/12 17:53,7/10/12 10:16,10:16:23,Closed,Case Closed Case Resolved done 7-5-12 ,Park Maintenance: Ringer Playground,Property Management,Graffiti,Graffiti Removal,PARK_Park Maintenance Requests,PARK,85 Allston St  Allston  MA  02134,Allston / Brighton,15,85 Allston St,2134,42.3594,-71.0587,Citizens Connect App,256.3833333
1.01E+11,6/29/12 23:06,7/18/12 13:55,18:14:49,Closed,Case Closed Case Resolved   This request has been completed. ,Graffiti Removal,Property Management,Graffiti,Graffiti Removal,PROP_GRAF_GraffitiRemoval,PROP,121-127 Portland St  Boston  MA  02114,Downtown / Financial District,3,121-127 Portland St,2114,42.363602,-71.060542,Citizens Connect App,446.8166667
